Date,Open,High,Low,Close,Volume,Adj Close
2014-03-24,435.25,435.64,429.46,429.46,185848000,429.46
2014-03-21,434.69,436.56,434.08,434.97,204917100,434.97
2014-03-20,435.42,435.82,432.98,435.60,155199700,435.60
2014-03-19,437.94,438.94,437.12,438.34,146888300,438.34
2014-03-18,434.35,438.20,433.38,437.68,149969400,437.68
2014-03-17,428.82,435.38,428.74,435.23,135676900,435.23
2014-03-14,427.88,429.14,425.85,428.53,175346200,428.53
2014-03-13,434.72,435.26,431.27,431.42,134500200,431.42
2014-03-12,436.53,436.53,432.71,433.92,171933200,433.92
2014-03-11,438.88,439.41,436.34,437.81,169450000,437.81
2014-03-10,437.37,440.49,436.63,437.96,188255700,437.96
2014-03-07,442.17,443.09,437.54,437.94,237548400,437.94
2014-03-06,440.99,442.97,440.99,442.53,309916100,442.53
2014-03-05,439.71,440.94,439.30,439.32,222707700,439.32
2014-03-04,432.55,439.35,432.55,439.35,219752000,439.35
2014-03-03,434.14,434.55,430.24,430.60,278199200,430.60
2014-02-28,441.11,442.54,439.83,442.17,156415600,442.17
2014-02-27,442.09,442.77,438.64,441.28,167908100,441.28
2014-02-26,442.22,442.69,441.33,442.67,152475700,442.67
2014-02-25,441.27,442.28,440.21,442.28,188609900,442.28
2014-02-24,437.73,441.88,436.64,441.88,211367600,441.88
2014-02-21,432.91,434.16,432.39,434.08,174136800,434.08
2014-02-20,427.76,432.08,427.03,432.08,154931800,432.08
2014-02-19,427.56,430.92,426.84,430.92,147830700,430.92
2014-02-18,431.60,431.60,426.83,427.64,159127200,427.64
2014-02-17,429.62,431.59,429.62,431.07,129596300,431.07
2014-02-14,427.13,429.05,426.49,428.62,198473300,428.62
2014-02-13,426.84,427.07,423.69,427.07,199699800,427.07
2014-02-12,429.42,429.91,427.05,427.06,188697200,427.06
2014-02-11,423.90,427.97,423.90,427.97,166018900,427.97
2014-02-10,422.17,422.71,421.14,422.19,154321000,422.19
2014-02-07,420.76,421.18,419.41,420.77,190755500,420.77
2014-02-06,415.93,420.41,415.34,419.01,268810300,419.01
2014-02-05,412.04,414.08,410.72,413.23,209046300,413.23
2014-02-04,409.03,410.10,407.27,409.61,180357800,409.61
2014-02-03,416.32,418.82,410.91,411.14,179754800,411.14
2014-01-31,417.21,417.41,413.46,416.72,197670100,416.72
2014-01-30,416.11,418.21,414.35,416.46,246272600,416.46
2014-01-29,422.95,424.00,414.59,418.02,287877900,418.02
2014-01-28,420.12,421.30,418.05,420.74,206326100,420.74
2014-01-27,420.40,420.43,416.55,419.27,205117200,419.27
2014-01-24,428.49,429.73,421.03,421.03,195848600,421.03
2014-01-23,432.40,432.95,427.75,428.28,236843200,428.28
2014-01-22,432.13,433.90,431.70,433.05,218980200,433.05
2014-01-21,431.99,433.25,431.30,431.59,311855300,431.59
2014-01-20,431.95,432.58,431.48,431.97,246318200,431.97
2014-01-17,430.50,432.56,430.50,432.41,293348800,432.41
2014-01-16,430.82,431.30,430.08,430.60,293117400,430.60
2014-01-15,426.59,430.70,426.59,430.60,225798600,430.60
2014-01-14,424.29,425.33,421.99,424.91,214793800,424.91
2014-01-13,427.82,428.05,426.29,426.40,248879600,426.40
2014-01-10,425.27,427.24,425.27,426.36,218272500,426.36
2014-01-09,424.48,426.29,423.49,424.09,183826100,424.09
2014-01-08,424.39,425.11,423.29,423.69,219006000,423.69
2014-01-07,423.71,423.96,422.39,423.51,183011400,423.51
2014-01-03,421.50,423.68,420.72,422.42,111253000,422.42
2014-01-02,423.87,424.20,420.66,421.60,132012600,421.60
2013-12-30,423.94,424.37,422.01,423.66,144442400,423.66
2013-12-27,421.84,424.42,421.84,424.09,123734000,424.09
2013-12-23,417.07,420.27,417.07,420.27,133814800,420.27
2013-12-20,413.84,416.89,413.04,416.73,225146600,416.73
2013-12-19,409.67,412.38,409.67,412.28,145096300,412.28
2013-12-18,404.26,406.59,404.26,406.11,176114400,406.11
2013-12-17,403.72,405.50,402.73,402.83,141061600,402.83
2013-12-16,400.41,404.01,399.70,404.01,150249300,404.01
2013-12-13,400.39,401.59,399.16,399.88,138279600,399.88
2013-12-12,402.76,402.76,399.17,399.68,166854800,399.68
2013-12-11,403.64,406.05,403.12,403.68,141836400,403.68
2013-12-10,406.90,407.48,403.29,404.36,202187400,404.36
2013-12-09,406.61,407.75,405.18,407.70,285272600,407.70
2013-12-06,404.93,406.39,402.40,405.42,162273700,405.42
2013-12-05,405.55,407.56,403.76,403.76,138520800,403.76
2013-12-04,407.69,408.68,403.47,406.09,147181900,406.09
2013-12-03,414.08,414.08,406.62,407.17,169487600,407.17
2013-12-02,415.18,415.49,413.56,414.20,122140200,414.20
2013-11-29,416.34,416.83,415.09,415.09,159437900,415.09
2013-11-28,415.68,417.24,415.68,416.99,139830400,416.99
2013-11-27,413.92,415.82,413.86,415.55,195355400,415.55
2013-11-26,413.24,414.23,413.13,413.96,183829300,413.96
2013-11-25,412.34,413.54,412.34,413.54,156048600,413.54
2013-11-22,409.62,411.21,409.29,411.21,129030500,411.21
2013-11-21,408.70,409.02,406.77,409.02,153199800,409.02
2013-11-20,411.11,411.20,409.15,410.34,161188800,410.34
2013-11-19,411.73,412.24,410.90,411.83,202737800,411.83
2013-11-18,410.17,413.26,410.01,413.25,228590600,413.25
2013-11-15,409.48,410.71,408.87,410.60,218591300,410.60
2013-11-14,407.73,408.86,407.04,408.28,217183800,408.28
2013-11-13,406.20,406.53,403.50,404.91,171732400,404.91
2013-11-12,409.25,409.25,406.75,407.01,130784500,407.01
2013-11-11,407.81,409.12,407.68,409.00,143852700,409.00
2013-11-08,405.94,408.21,405.12,407.09,183358900,407.09
2013-11-07,407.32,410.47,406.22,407.70,202202600,407.70
2013-11-06,404.56,408.03,404.32,406.96,168328500,406.96
2013-11-05,406.17,406.62,402.98,403.78,144551300,403.78
2013-11-04,405.62,406.55,405.10,405.38,156508700,405.38
2013-11-01,406.22,406.22,403.44,404.42,84824000,404.42
2013-10-31,406.75,407.05,404.88,405.69,166879500,405.69
2013-10-30,408.32,408.88,406.75,407.60,151902700,407.60
2013-10-29,406.52,408.43,406.52,407.62,166237800,407.62
2013-10-28,409.45,409.76,406.69,407.30,171462900,407.30
2013-10-25,408.88,408.88,406.87,408.50,230070200,408.50
2013-10-24,408.45,410.72,408.38,410.72,229238900,410.72
2013-10-23,409.35,409.35,407.87,408.48,200476600,408.48
2013-10-22,408.72,410.65,408.46,410.61,221477700,410.61
2013-10-21,406.27,408.46,406.18,408.10,147218100,408.10
2013-10-18,401.28,405.58,401.25,405.58,162504200,405.58
2013-10-17,400.70,401.13,398.17,400.13,177172000,400.13
2013-10-16,398.89,400.15,396.24,400.03,161247000,400.03
2013-10-15,399.04,401.68,399.04,399.95,177203400,399.95
2013-10-14,398.30,398.30,396.33,397.52,126924500,397.52
2013-10-11,399.39,399.94,398.48,399.76,152277000,399.76
2013-10-10,392.43,398.15,392.43,397.90,195121200,397.90
2013-10-09,391.76,393.16,390.07,390.53,167789500,390.53
2013-10-08,394.23,394.51,392.25,392.66,171028800,392.66
2013-10-07,395.58,395.58,392.37,394.53,161185100,394.53
2013-10-04,397.24,398.04,395.94,396.23,161256900,396.23
2013-10-03,399.02,400.60,397.25,397.63,202222400,397.63
2013-10-02,399.88,399.90,397.32,398.64,176114400,398.64
2013-10-01,398.56,401.19,397.91,401.03,184527600,401.03
2013-09-30,398.54,398.97,396.68,398.53,182306800,398.53
2013-09-27,403.50,404.52,400.90,401.67,216324500,401.67
2013-09-26,403.81,403.96,402.82,403.28,204658400,403.28
2013-09-25,404.19,404.38,400.75,401.49,254640700,401.49
2013-09-24,403.83,405.90,403.83,405.90,218282000,405.90
2013-09-23,406.69,407.18,403.28,403.71,286256800,403.71
2013-09-20,406.73,407.37,406.31,406.91,166772700,406.91
2013-09-19,408.30,408.60,406.35,407.24,205620600,407.24
2013-09-18,403.37,403.87,402.38,403.79,266824500,403.79
2013-09-17,403.68,403.89,402.94,403.11,186484400,403.11
2013-09-16,404.34,404.67,403.12,404.25,165841500,404.25
2013-09-13,400.47,400.76,399.39,400.73,158045600,400.73
2013-09-12,401.30,402.16,400.21,401.08,250142200,401.08
2013-09-11,400.67,402.39,400.17,401.56,234956100,401.56
2013-09-10,396.62,400.67,396.62,400.67,212307000,400.67
2013-09-09,394.99,395.26,393.03,394.74,150677900,394.74
2013-09-06,393.73,394.90,392.06,394.88,225327100,394.88
2013-09-05,392.49,394.87,392.49,393.47,331641200,393.47
2013-09-04,391.40,392.95,389.50,392.56,191696100,392.56
2013-09-03,390.02,391.40,387.86,390.86,267861100,390.86
2013-09-02,385.59,388.84,385.59,388.74,000,388.74
2013-08-30,386.32,386.37,383.31,383.33,174949500,383.33
2013-08-29,384.71,386.07,384.17,385.75,178109500,385.75
2013-08-28,381.80,385.62,381.30,383.55,179863600,383.55
2013-08-27,390.66,390.66,385.17,385.85,181869700,385.85
2013-08-26,392.07,392.51,389.27,391.96,133658600,391.96
2013-08-23,390.25,391.52,389.23,391.52,131483500,391.52
2013-08-22,386.52,390.70,386.52,389.61,143298500,389.61
2013-08-21,392.42,392.65,386.39,386.39,124471200,386.39
2013-08-20,391.79,391.98,389.54,391.86,142098900,391.86
2013-08-19,394.12,394.62,392.82,393.24,113126800,393.24
2013-08-16,390.35,393.95,389.73,393.95,110357600,393.95
2013-08-15,394.79,394.79,389.03,390.86,111898200,390.86
2013-08-14,395.11,396.38,394.92,395.73,134073000,395.73
